,artist,album,release_date,genres,rating,rating_quantity
0,"Black Country, New Road",Ants From Up There,"
4 February 2022
Album
","
Art Rock
Post-Rock
Chamber Pop
",4.01,"
               29k
            "
1,black midi,Hellfire,"
15 July 2022
Album
","
Avant-Prog
Brutal Prog
",3.93,"
               18k
            "
2,"Danger Mouse, Black Thought",Cheat Codes,"
12 August 2022
Album
","
East Coast Hip Hop
Conscious Hip Hop
",3.93,"
               11k
            "
3,Big Thief,Dragon New Warm Mountain I Believe in You,"
11 February 2022
Album
","
Indie Folk
Folk Rock
",3.91,"
               14k
            "
4,Natalia Lafourcade,De todas las flores,"
28 October 2022
Album
","
Singer-Songwriter
Chamber Folk
Vocal Jazz
",3.92,"
               5k
            "
5,billy woods,Aethiopes,"
8 April 2022
Album
","
Abstract Hip Hop
Experimental Hip Hop
East Coast Hip Hop
",3.89,"
               10k
            "
6,J.I.D,The Forever Story,"
26 August 2022
Album
","
Southern Hip Hop
Conscious Hip Hop
",3.89,"
               9k
            "
7,betcover!!,卵 (Tamago),"
21 December 2022
Album
","
Art Rock
Progressive Rock
Jazz-Rock
",3.87,"
               1k
            "
8,Alvvays,Blue Rev,"
7 October 2022
Album
","
Indie Pop
Shoegaze
Noise Pop
",3.78,"
               11k
            "
9,Weyes Blood,"And in the Darkness, Hearts Aglow","
18 November 2022
Album
","
Baroque Pop
Singer-Songwriter
",3.78,"
               9k
            "
10,Beach House,Once Twice Melody,"
18 February 2022
Album
","
Dream Pop
Neo-Psychedelia
",3.77,"
               12k
            "
11,Nas,King's Disease III,"
11 November 2022
Album
","
East Coast Hip Hop
Boom Bap
Conscious Hip Hop
",3.79,"
               5k
            "
12,Denzel Curry,Melt My Eyez See Your Future,"
25 March 2022
Album
","
Conscious Hip Hop
Southern Hip Hop
",3.76,"
               15k
            "
13,Little Simz,NO THANK YOU,"
12 December 2022
Album
","
UK Hip Hop
Conscious Hip Hop
",3.77,"
               6k
            "
14,Richard Dawson,The Ruby Cord,"
18 November 2022
Album
","
Progressive Folk
Avant-Folk
",3.74,"
               3k
            "
15,Soul Glo,Diaspora Problems,"
25 March 2022
Album
","
Hardcore Punk
",3.71,"
               8k
            "
